rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
3402.29	2652.82	0	1.#QNAN	0	0	0	4.16667e-009	3402.29	3402.29	4162.21
3113.71	2417.39	1	1.#QNAN	0	0	0	7.54195e-008	2961.66	3113.71	4162.21
3006.58	2332.11	2	1.#QNAN	0	0.016	0	9.67969e-008	2854.31	3006.58	4162.21
2921.65	2265.31	3	1.#QNAN	0	0	0	1.11153e-007	2730.8	2921.65	4162.21
2859.09	2211.28	4	1.#QNAN	0	0	0	1.24702e-007	2652.97	2859.09	37734.5
2794.67	2160.84	5	1.#QNAN	0	0.016	0	1.31412e-007	2514.58	2794.67	2514.58
2736.34	2112.01	6	1.#QNAN	0	0	0	1.46954e-007	2442.2	2736.34	2462.03
2667.84	2058.91	7	1.#QNAN	0	0	0	1.70716e-007	2265.1	2667.84	2383.86
2602.48	2006.48	8	1.#QNAN	0	0	0	1.94218e-007	2167.97	2602.48	2319.53
2532.25	1950.65	9	1.#QNAN	0	0.015	0	2.10782e-007	2020.66	2532.25	2247.15
2462.82	1894.82	10	1.#QNAN	0	0	0	2.50909e-007	1920.49	2462.82	2179.22
2403.29	1845.67	11	1.#QNAN	0	0	0	2.7879e-007	1891.05	2403.29	2128.47
2345.73	1797.23	12	1.#QNAN	0	0.016	0	2.94141e-007	1833.26	2345.73	2080.88
2291.81	1750.86	13	1.#QNAN	0	0	0	3.23863e-007	1771.72	2291.81	2036.16
2241.44	1707.48	14	1.#QNAN	0	0	0	3.45686e-007	1756.96	2241.44	1996.2
2194.03	1665.4	15	1.#QNAN	0	0.015	0	3.52163e-007	1695.1	2194.03	1958.4
2151.49	1627.53	16	1.#QNAN	0	0	0	3.73814e-007	1681.51	2151.49	1926.19
2112.22	1592.18	17	1.#QNAN	0	0	0	3.80851e-007	1660.32	2112.22	1896.96
2075.69	1559.07	18	1.#QNAN	0	0	0	3.81441e-007	1653.74	2075.69	1870.24
2042.09	1528.98	19	1.#QNAN	0	0.016	0	3.90475e-007	1654.65	2042.09	1846.62
2010.61	1501.22	20	1.#QNAN	0	0	0	3.98711e-007	1625.51	2010.61	1824.43
1981.6	1475.33	21	1.#QNAN	0	0	0	4.1168e-007	1639.05	1981.6	1804.72
1954.37	1451.19	22	1.#QNAN	0	0.016	0	4.23429e-007	1637.18	1954.37	1786.2
1930.49	1429.84	23	1.#QNAN	0	0	0	4.20376e-007	1637.62	1930.49	1770.91
1909.08	1410.7	24	1.#QNAN	0	0	0	4.25105e-007	1655.11	1909.08	1757.86
1889.11	1392.59	25	1.#QNAN	0	0	0	4.2434e-007	1640.81	1889.11	1745.6
1871.01	1376.16	26	1.#QNAN	0	0.015	0	4.21624e-007	1614.32	1871.01	1734.55
1853.95	1361.47	27	1.#QNAN	0	0	0	4.38907e-007	1619.97	1853.95	1724.25
1837.8	1347.37	28	1.#QNAN	0	0	0	4.44836e-007	1613.64	1837.8	1714.53
1822.72	1333.78	29	1.#QNAN	0	0.016	0	4.55509e-007	1615.9	1822.72	1705.52
1808.1	1320.46	30	1.#QNAN	0	0	0	4.55338e-007	1602.42	1808.1	1696.62
1795.15	1308.54	31	1.#QNAN	0	0	0	4.66543e-007	1606.42	1795.15	1688.95
1783.11	1297.69	32	1.#QNAN	0	0.015	0	4.61652e-007	1611.32	1783.11	1681.98
1772.53	1287.58	33	1.#QNAN	0	0	0	4.63621e-007	1612.41	1772.53	1676.07
1761.99	1277.64	34	1.#QNAN	0	0	0	4.71291e-007	1569.15	1761.99	1669.55
1752.41	1268.42	35	1.#QNAN	0	0	0	4.44623e-007	1581.15	1752.41	1663.86
1743.45	1259.5	36	1.#QNAN	0	0.016	0	4.7455e-007	1592.04	1743.45	1658.59
1734.43	1251	37	1.#QNAN	0	0	0	4.94967e-007	1578.12	1734.43	1653.06
1726.17	1243.04	38	1.#QNAN	0	0	0	5.00714e-007	1591.07	1726.17	1648.24
1718.87	1235.34	39	1.#QNAN	0	0.016	0	4.93832e-007	1604.55	1718.87	1644.24
1711.93	1228.18	40	1.#QNAN	0	0	0	4.94725e-007	1590.9	1711.93	1640.3
1704.48	1220.98	41	1.#QNAN	0	0	0	5.01287e-007	1542.55	1704.48	1635.42
1698.18	1214.36	42	1.#QNAN	0	0.015	0	4.91956e-007	1580.71	1698.18	1631.78
1691.75	1207.97	43	1.#QNAN	0	0	0	5.19096e-007	1566.19	1691.75	1627.89
1685.28	1201.68	44	1.#QNAN	0	0	0	4.91745e-007	1543.3	1685.28	1623.73
1679.68	1195.97	45	1.#QNAN	0	0.016	0	5.25307e-007	1573.74	1679.68	1620.42
1673.73	1190.43	46	1.#QNAN	0	0	0	5.10347e-007	1554.29	1673.73	1616.59
1668.19	1184.77	47	1.#QNAN	0	0	0	5.26506e-007	1538.3	1668.19	1612.99
1662.54	1179.27	48	1.#QNAN	0	0.015	0	5.26634e-007	1532.08	1662.54	1609.15
1656.94	1173.97	49	1.#QNAN	0	0	0	5.28639e-007	1508.05	1656.94	1605.18
1651.83	1169.06	50	1.#QNAN	0	0	0	5.21384e-007	1521.07	1651.83	1601.68
1647.18	1164.44	51	1.#QNAN	0	0.016	0	5.11527e-007	1528.97	1647.18	1598.59
1643.07	1160.18	52	1.#QNAN	0	0	0	5.26127e-007	1542.06	1643.07	1595.99
1638.53	1155.4	53	1.#QNAN	0	0	0	5.05839e-007	1525.74	1638.53	1592.91
1634.19	1151.23	54	1.#QNAN	0	0	0	5.19106e-007	1508.98	1634.19	1589.8
1630.19	1147.37	55	1.#QNAN	0	0.016	0	5.37714e-007	1511.07	1630.19	1587.03
1626.12	1143.18	56	1.#QNAN	0	0	0	5.25714e-007	1513.03	1626.12	1584.23
1621.81	1138.93	57	1.#QNAN	0	0	0	5.44846e-007	1487.86	1621.81	1581.02
1618.14	1135.09	58	1.#QNAN	0	0.015	0	5.52268e-007	1509.55	1618.14	1578.44
1614.7	1131.64	59	1.#QNAN	0	0	0	5.36615e-007	1512.95	1614.7	1576.08
1611.14	1127.88	60	1.#QNAN	0	0	0	5.35797e-007	1505.86	1611.14	1573.54
1607.56	1124.31	61	1.#QNAN	0	0.016	0	5.58922e-007	1489.77	1607.56	1570.85
1604.14	1120.8	62	1.#QNAN	0	0	0	5.12756e-007	1489.57	1604.14	1568.32
1600.93	1117.56	63	1.#QNAN	0	0	0	5.54316e-007	1494.2	1600.93	1565.95
1597.83	1114.39	64	1.#QNAN	0	0.015	0	5.632e-007	1504.79	1597.83	1563.78
1594.64	1111.29	65	1.#QNAN	0	0	0	5.50062e-007	1493	1594.64	1561.42
1591.14	1107.83	66	1.#QNAN	0	0	0	5.49789e-007	1459.39	1591.14	1558.67
1587.98	1104.8	67	1.#QNAN	0	0.016	0	5.77098e-007	1475.56	1587.98	1556.24
1584.6	1101.54	68	1.#QNAN	0	0	0	5.72468e-007	1459.13	1584.6	1553.52
1581.15	1098.36	69	1.#QNAN	0	0	0	5.46445e-007	1447.86	1581.15	1550.67
1577.89	1095.34	70	1.#QNAN	0	0	0	5.66049e-007	1445.03	1577.89	1547.96
