rmse	mae	#iter	time_pred	time_learn	time_learn2	time_learn4	alpha	rmse_mcmc_this	rmse_mcmc_all	rmse_mcmc_all_but5
2201.5	1496.27	0	1.#QNAN	0	0.016	0	5.61206e-008	2201.5	2201.5	4287.87
1837.11	1232.77	1	1.#QNAN	0	0.016	0	2.65165e-007	1666.05	1837.11	4287.87
1753.52	1168.79	2	1.#QNAN	0	0.015	0	4.54189e-007	1664.24	1753.52	4287.87
1714.39	1138.75	3	1.#QNAN	0	0.016	0	4.89779e-007	1636.94	1714.39	4287.87
1693.22	1121.72	4	1.#QNAN	0	0.015	0	4.89197e-007	1640.47	1693.22	37538.7
1674.61	1107.07	5	1.#QNAN	0	0	0	4.83713e-007	1610.18	1674.61	1610.18
1657.65	1092.54	6	1.#QNAN	0	0.016	0	5.26103e-007	1586.59	1657.65	1593.81
1643.69	1081.74	7	1.#QNAN	0	0.016	1	5.18356e-007	1575.26	1643.69	1584.66
1630.83	1070.44	8	1.#QNAN	0	0.015	0	5.34672e-007	1560.95	1630.83	1575.78
1615.68	1059.68	9	1.#QNAN	0	0.016	0	5.77358e-007	1513.92	1615.68	1560.75
1606	1052.58	10	1.#QNAN	0	0.015	0	5.58892e-007	1543.3	1606	1555.62
1598.48	1046.02	11	1.#QNAN	0	0.016	0	5.75474e-007	1551.68	1598.48	1553.1
1591.12	1040.23	12	1.#QNAN	0	0	0	5.75747e-007	1536.02	1591.12	1549.04
1584.18	1034.63	13	1.#QNAN	0	0.016	0	5.80416e-007	1528.62	1584.18	1545.08
1579.53	1030.24	14	1.#QNAN	0	0.015	0	5.82078e-007	1544.49	1579.53	1543.61
1573.44	1026.51	15	1.#QNAN	0	0.016	0	5.80351e-007	1516.39	1573.44	1539.65
1569.24	1023.36	16	1.#QNAN	0	0.015	0	5.99409e-007	1530.06	1569.24	1537.76
1565.83	1020.52	17	1.#QNAN	0	0.016	0	5.92798e-007	1532.61	1565.83	1536.49
1561.33	1017.41	18	1.#QNAN	0	0.016	0	5.79396e-007	1512.78	1561.33	1533.67
1557.99	1014.81	19	1.#QNAN	0	0.015	0	5.73476e-007	1518.15	1557.99	1531.9
1554.81	1012.95	20	1.#QNAN	0	0.016	0	5.79065e-007	1516.3	1554.81	1530.11
1552.42	1010.58	21	1.#QNAN	0	0.015	0	5.79343e-007	1530.13	1552.42	1529.31
1549.01	1008.49	22	1.#QNAN	0	0.016	0	5.83451e-007	1500.97	1549.01	1526.93
1547.28	1006.98	23	1.#QNAN	0	0	0	5.77362e-007	1529.31	1547.28	1526.51
1545.1	1005.14	24	1.#QNAN	0	0.016	0	5.88787e-007	1517.29	1545.1	1525.35
1542.82	1003.47	25	1.#QNAN	0	0.015	0	5.8356e-007	1509.44	1542.82	1523.91
1540.64	1002.09	26	1.#QNAN	0	0.016	0	6.1418e-007	1506.34	1540.64	1522.53
1538.7	1000.45	27	1.#QNAN	0	0.015	0	5.91571e-007	1508.62	1538.7	1521.35
1537.48	999.513	28	1.#QNAN	0	0.016	0	5.90438e-007	1522.85	1537.48	1520.84
1535.26	998.133	29	1.#QNAN	0	0	0	5.81184e-007	1493.55	1535.26	1519.19
1533.53	997.162	30	1.#QNAN	0	0.016	0	6.04222e-007	1506	1533.53	1518.01
1531.23	995.7	31	1.#QNAN	0	0.015	0	5.99214e-007	1490.68	1531.23	1516.32
1529.28	994.493	32	1.#QNAN	0	0.016	0	5.99524e-007	1493.93	1529.28	1514.9
1527.85	993.58	33	1.#QNAN	0	0.015	0	6.33188e-007	1507.56	1527.85	1514.07
1526.36	992.562	34	1.#QNAN	0	0.016	0	5.9936e-007	1499.77	1526.36	1513.08
1524.83	991.559	35	1.#QNAN	0	0.016	0	5.91206e-007	1494.23	1524.83	1511.97
1523.58	990.707	36	1.#QNAN	0	0	0	6.11058e-007	1499.7	1523.58	1511.02
1521.92	989.708	37	1.#QNAN	0	0.015	0	5.98242e-007	1484.51	1521.92	1509.64
1519.75	988.493	38	1.#QNAN	0	0.016	0	6.00146e-007	1468.54	1519.75	1507.66
1517.78	987.202	39	1.#QNAN	0	0.015	0	6.32272e-007	1473.93	1517.78	1505.97
1515.57	986.127	40	1.#QNAN	0	0.016	0	6.45551e-007	1465.4	1515.57	1503.99
1513.12	984.446	41	1.#QNAN	0	0.016	0	6.18528e-007	1455.56	1513.12	1501.74
1510.78	983.071	42	1.#QNAN	0	0.015	0	6.4241e-007	1460.24	1510.78	1499.62
1508.19	981.43	43	1.#QNAN	0	0	0	6.42476e-007	1451.26	1508.19	1497.18
1505.62	979.573	44	1.#QNAN	0	0.016	0	6.58101e-007	1453.08	1505.62	1494.8
1503.48	977.765	45	1.#QNAN	0	0.015	0	6.62432e-007	1463.8	1503.48	1492.86
1501.79	976.314	46	1.#QNAN	0	0.016	0	6.69661e-007	1480.87	1501.79	1491.39
1499.86	974.937	47	1.#QNAN	0	0.016	0	6.90231e-007	1457.9	1499.86	1489.64
1497.88	973.428	48	1.#QNAN	0	0.015	0	6.75291e-007	1482.31	1497.88	1487.78
1496.45	971.983	49	1.#QNAN	0	0	0	6.93565e-007	1504.41	1496.45	1486.55
1495.28	970.784	50	1.#QNAN	0	0	0	6.86757e-007	1506.93	1495.28	1485.56
1493.9	969.376	51	1.#QNAN	0	0.015	0	6.93196e-007	1490.84	1493.9	1484.35
1492.36	968.323	52	1.#QNAN	0	0.016	0	7.09646e-007	1478.3	1492.36	1482.96
1490.14	967.111	53	1.#QNAN	0	0.016	0	7.19958e-007	1447.25	1490.14	1480.84
1487.9	965.686	54	1.#QNAN	0	0.015	0	7.23415e-007	1439.4	1487.9	1478.69
1486.04	964.439	55	1.#QNAN	0	0.016	0	7.46771e-007	1454.62	1486.04	1476.95
1483.8	963.227	56	1.#QNAN	0	0	0	7.14063e-007	1427.13	1483.8	1474.8
1482.24	962.044	57	1.#QNAN	0	0.015	0	7.76681e-007	1471.02	1482.24	1473.38
1480.49	960.937	58	1.#QNAN	0	0.016	0	7.64919e-007	1461.86	1480.49	1471.75
1479.01	959.958	59	1.#QNAN	0	0.016	0	7.32934e-007	1480.54	1479.01	1470.41
1477.26	958.711	60	1.#QNAN	0	0.015	0	7.27454e-007	1443.67	1477.26	1468.74
1475.45	957.571	61	1.#QNAN	0	0.016	0	7.32372e-007	1442.51	1475.45	1467.04
1473.63	956.419	62	1.#QNAN	0	0.015	0	7.7718e-007	1448.98	1473.63	1465.34
1471.94	955.287	63	1.#QNAN	0	0	0	7.37447e-007	1456.16	1471.94	1463.77
1470.77	954.405	64	1.#QNAN	0	0.016	0	7.48454e-007	1485.71	1470.77	1462.72
1469.78	953.601	65	1.#QNAN	0	0.016	0	7.9128e-007	1491.17	1469.78	1461.86
1469.06	952.863	66	1.#QNAN	0	0.015	0	7.59462e-007	1517.21	1469.06	1461.29
1468.21	952	67	1.#QNAN	0	0.016	0	7.37361e-007	1510.52	1468.21	1460.57
1466.86	951.15	68	1.#QNAN	0	0.015	0	7.44185e-007	1460.2	1466.86	1459.31
1465.86	950.342	69	1.#QNAN	0	0.016	0	7.98877e-007	1485.51	1465.86	1458.43
1464.95	949.539	70	1.#QNAN	0	0	0	7.67564e-007	1499.94	1464.95	1457.64
1463.99	948.729	71	1.#QNAN	0	0.016	0	7.94833e-007	1479.61	1463.99	1456.79
1463.47	948.064	72	1.#QNAN	0	0.015	0	7.80339e-007	1518.32	1463.47	1456.41
1462.9	947.292	73	1.#QNAN	0	0.016	0	7.78933e-007	1501.61	1462.9	1455.97
1461.92	946.376	74	1.#QNAN	0	0.015	0	7.94122e-007	1460.21	1461.92	1455.09
1461.36	945.788	75	1.#QNAN	0	0.016	0	7.90111e-007	1504.07	1461.36	1454.66
1460.59	945.073	76	1.#QNAN	0	0.016	0	7.82266e-007	1480.53	1460.59	1454.01
1460.14	944.325	77	1.#QNAN	0	0	0	7.78754e-007	1528.75	1460.14	1453.72
1459.41	943.692	78	1.#QNAN	0	0.015	0	7.60815e-007	1497.87	1459.41	1453.11
1459.01	943.074	79	1.#QNAN	0	0.016	0	7.8131e-007	1518.01	1459.01	1452.84
1458.43	942.507	80	1.#QNAN	0	0.015	0	7.776e-007	1511.25	1458.43	1452.38
1458.34	942.042	81	1.#QNAN	0	0.016	1	8.07245e-007	1541.68	1458.34	1452.44
1458.22	941.636	82	1.#QNAN	0	0.016	0	8.03808e-007	1534.35	1458.22	1452.45
1457.55	940.913	83	1.#QNAN	0	0.015	0	7.90591e-007	1494.64	1457.55	1451.87
1457.21	940.157	84	1.#QNAN	0	0.016	0	8.04649e-007	1531.96	1457.21	1451.66
1456.56	939.378	85	1.#QNAN	0	0.015	0	8.1364e-007	1486.12	1456.56	1451.1
1456.07	938.866	86	1.#QNAN	0	0	0	8.13405e-007	1504.83	1456.07	1450.67
1456.01	938.516	87	1.#QNAN	0	0.016	0	7.79125e-007	1545.77	1456.01	1450.72
1455.52	938.053	88	1.#QNAN	0	0.016	0	8.35714e-007	1493.4	1455.52	1450.31
1454.88	937.632	89	1.#QNAN	0	0.015	0	7.9005e-007	1462.54	1454.88	1449.76
1454.22	937.11	90	1.#QNAN	0	0.016	0	7.94442e-007	1468.46	1454.22	1449.19
1453.8	936.734	91	1.#QNAN	0	0.015	0	8.21449e-007	1494.72	1453.8	1448.87
1453.2	936.354	92	1.#QNAN	0	0	0	8.17421e-007	1476.38	1453.2	1448.35
1452.73	936.025	93	1.#QNAN	0	0.016	0	8.12093e-007	1479.57	1452.73	1447.97
1452.11	935.623	94	1.#QNAN	0	0.016	0	7.93913e-007	1465.93	1452.11	1447.4
1451.65	935.236	95	1.#QNAN	0	0.015	0	8.04285e-007	1466.2	1451.65	1447
1450.88	934.781	96	1.#QNAN	0	0.016	0	8.17626e-007	1437.34	1450.88	1446.29
1450.74	934.527	97	1.#QNAN	0	0.015	0	8.14482e-007	1497.66	1450.74	1446.24
1450.76	934.292	98	1.#QNAN	0	0.016	0	8.3797e-007	1527.04	1450.76	1446.33
1450.77	934.026	99	1.#QNAN	0	0	0	7.89921e-007	1515.34	1450.77	1446.42
1450.75	933.827	100	1.#QNAN	0	0.016	0	8.04471e-007	1515.36	1450.75	1446.47
1450.84	933.65	101	1.#QNAN	0	0.015	0	8.06878e-007	1541.41	1450.84	1446.65
1450.84	933.397	102	1.#QNAN	0	0.016	0	7.85062e-007	1514.23	1450.84	1446.72
